Weekday,MonthNum,Month,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Friday,11,November,13,12.0,0.0,12.0,0.25,-192.0,0.8594436310395315,-16.0
Friday,11,November,14,4.0,0.0,4.0,0.25,296.0,1.5627376425855513,74.0
Friday,11,November,15,9.0,0.0,9.0,0.4444444444444444,578.0,2.1030534351145036,64.22222222222223
Monday,12,December,13,8.0,0.0,8.0,0.375,323.0,1.5676625659050967,40.375
Monday,12,December,14,6.0,0.0,6.0,0.3333333333333333,-172.0,0.7634112792297112,-28.666666666666668
Monday,12,December,15,5.0,0.0,5.0,0.0,-592.0,0.0,-118.4
Tuesday,12,December,13,10.0,0.0,10.0,0.3,3318.0,6.5952782462057336,331.8
Tuesday,12,December,14,17.0,0.0,17.0,0.4117647058823529,2993.0,2.99400399733511,176.05882352941177
Tuesday,12,December,15,5.0,0.0,5.0,0.2,-334.0,0.3425196850393701,-66.8
Wednesday,12,December,13,11.0,0.0,11.0,0.45454545454545453,227.0,1.273164861612515,20.636363636363637
Wednesday,12,December,14,9.0,0.0,9.0,0.3333333333333333,735.0,1.6774193548387097,81.66666666666667
Wednesday,12,December,15,7.0,0.0,7.0,0.2857142857142857,397.0,2.248427672955975,56.714285714285715
Thursday,12,December,13,13.0,0.0,13.0,0.23076923076923078,731.0,1.6117154811715482,56.23076923076923
Thursday,12,December,14,8.0,0.0,8.0,0.5,495.0,1.6346153846153846,61.875
Thursday,12,December,15,6.0,0.0,6.0,0.6666666666666666,883.0,4.85589519650655,147.16666666666666
Friday,12,December,13,9.0,0.0,9.0,0.4444444444444444,1298.0,2.5324675324675323,144.22222222222223
Friday,12,December,14,7.0,0.0,7.0,0.42857142857142855,-158.0,0.7384105960264901,-22.571428571428573
Friday,12,December,15,7.0,0.0,7.0,0.5714285714285714,1955.0,6.131233595800525,279.2857142857143
